healthboard,date,hai,ai,pc
Velindre NHST,2020-03-01,0,0,0.0
Velindre NHST,2020-03-08,0,0,0.0
Velindre NHST,2020-03-15,0,0,0.0
Velindre NHST,2020-03-22,0,0,0.0
Velindre NHST,2020-03-29,1,7,14.0
Velindre NHST,2020-04-05,3,6,50.0
Velindre NHST,2020-04-12,0,3,0.0
Velindre NHST,2020-04-19,0,2,0.0
Velindre NHST,2020-04-26,0,1,0.0
Velindre NHST,2020-05-03,0,2,0.0
Velindre NHST,2020-05-10,0,1,0.0
Velindre NHST,2020-05-17,0,1,0.0
Velindre NHST,2020-05-24,0,0,0.0
Velindre NHST,2020-05-31,0,0,0.0
Velindre NHST,2020-06-07,0,0,0.0
Velindre NHST,2020-06-14,0,0,0.0
Velindre NHST,2020-06-21,0,0,0.0
Velindre NHST,2020-06-28,0,0,0.0
Velindre NHST,2020-07-05,0,0,0.0
Velindre NHST,2020-07-12,0,0,0.0
Velindre NHST,2020-07-19,0,0,0.0
Velindre NHST,2020-07-26,0,0,0.0
Velindre NHST,2020-08-02,0,0,0.0
Velindre NHST,2020-08-09,0,0,0.0
Velindre NHST,2020-08-16,0,0,0.0
Velindre NHST,2020-08-23,0,0,0.0
Velindre NHST,2020-08-30,0,0,0.0
Velindre NHST,2020-09-06,0,0,0.0
Velindre NHST,2020-09-13,0,0,0.0
Velindre NHST,2020-09-20,0,0,0.0
Velindre NHST,2020-09-27,0,0,0.0
Velindre NHST,2020-10-04,0,0,0.0
Velindre NHST,2020-10-11,0,0,0.0
Velindre NHST,2020-10-18,0,0,0.0
Velindre NHST,2020-10-25,0,0,0.0
Velindre NHST,2020-11-01,0,0,0.0
Velindre NHST,2020-11-08,0,0,0.0
Velindre NHST,2020-11-15,0,0,0.0
Velindre NHST,2020-11-22,1,0,0.0
Velindre NHST,2020-11-29,0,0,0.0
Velindre NHST,2020-12-06,1,1,100.0
Velindre NHST,2020-12-13,2,2,100.0
Velindre NHST,2020-12-20,2,4,50.0
Velindre NHST,2020-12-27,0,1,0.0
Velindre NHST,2021-01-03,0,1,0.0
Velindre NHST,2021-01-10,0,1,0.0
Velindre NHST,2021-01-17,0,1,0.0
Velindre NHST,2021-01-24,0,0,0.0
Velindre NHST,2021-01-31,0,1,0.0
Velindre NHST,2021-02-07,0,1,0.0
Velindre NHST,2021-02-14,0,0,0.0
Velindre NHST,2021-02-21,0,0,0.0
Velindre NHST,2021-02-28,0,0,0.0
Velindre NHST,2021-03-07,0,0,0.0
Velindre NHST,2021-03-14,0,0,0.0
Velindre NHST,2021-03-21,0,0,0.0
Velindre NHST,2021-03-28,0,0,0.0
Velindre NHST,2021-04-04,0,0,0.0
Velindre NHST,2021-04-11,0,0,0.0
Velindre NHST,2021-04-18,0,0,0.0
Velindre NHST,2021-04-25,0,0,0.0
Velindre NHST,2021-05-02,0,0,0.0
Velindre NHST,2021-05-09,0,0,0.0
Velindre NHST,2021-05-16,0,0,0.0
Velindre NHST,2021-05-23,0,0,0.0
Velindre NHST,2021-05-30,0,0,0.0
Velindre NHST,2021-06-06,0,0,0.0
Velindre NHST,2021-06-13,0,0,0.0
Velindre NHST,2021-06-20,0,0,0.0
Velindre NHST,2021-06-27,0,0,0.0
Velindre NHST,2021-07-04,0,0,0.0
Velindre NHST,2021-07-11,0,0,0.0
Velindre NHST,2021-07-18,0,0,0.0
Velindre NHST,2021-07-25,0,0,0.0
Velindre NHST,2021-08-01,0,0,0.0
Velindre NHST,2021-08-08,0,0,0.0
Velindre NHST,2021-08-15,0,0,0.0
Velindre NHST,2021-08-22,0,0,0.0
Velindre NHST,2021-08-29,0,0,0.0
Velindre NHST,2021-09-05,0,0,0.0
Velindre NHST,2021-09-12,0,0,0.0
Velindre NHST,2021-09-19,0,0,0.0
Velindre NHST,2021-09-26,0,1,0.0
Velindre NHST,2021-10-03,0,0,0.0
Velindre NHST,2021-10-10,0,0,0.0
Velindre NHST,2021-10-17,0,0,0.0
Velindre NHST,2021-10-24,0,1,0.0
Velindre NHST,2021-10-31,0,1,0.0
Velindre NHST,2021-11-07,0,0,0.0
Velindre NHST,2021-11-14,0,1,0.0
Velindre NHST,2021-11-21,0,2,0.0
Velindre NHST,2021-11-28,0,1,0.0
Velindre NHST,2021-12-05,0,1,0.0
Velindre NHST,2021-12-12,0,0,0.0
Velindre NHST,2021-12-19,0,0,0.0
Velindre NHST,2021-12-26,0,0,0.0
Velindre NHST,2022-01-02,0,0,0.0
Velindre NHST,2022-01-09,0,0,0.0
Velindre NHST,2022-01-16,0,0,0.0
Velindre NHST,2022-01-23,1,1,100.0
Velindre NHST,2022-01-30,1,2,50.0
Velindre NHST,2022-02-06,1,2,50.0
Velindre NHST,2022-02-13,1,2,50.0
Velindre NHST,2022-02-20,0,1,0.0
Velindre NHST,2022-02-27,0,1,0.0
Velindre NHST,2022-03-06,0,0,0.0
Velindre NHST,2022-03-13,0,0,0.0
Velindre NHST,2022-03-20,0,0,0.0
Velindre NHST,2022-03-27,0,0,0.0
Swansea Bay UHB,2020-03-01,0,0,0.0
Swansea Bay UHB,2020-03-08,0,1,0.0
Swansea Bay UHB,2020-03-15,0,2,0.0
Swansea Bay UHB,2020-03-22,4,12,33.0
Swansea Bay UHB,2020-03-29,13,42,31.0
Swansea Bay UHB,2020-04-05,72,145,50.0
Swansea Bay UHB,2020-04-12,62,195,32.0
Swansea Bay UHB,2020-04-19,35,206,17.0
Swansea Bay UHB,2020-04-26,17,165,10.0
Swansea Bay UHB,2020-05-03,4,96,4.0
Swansea Bay UHB,2020-05-10,0,56,0.0
Swansea Bay UHB,2020-05-17,0,28,0.0
Swansea Bay UHB,2020-05-24,1,17,6.0
Swansea Bay UHB,2020-05-31,0,6,0.0
Swansea Bay UHB,2020-06-07,0,5,0.0
Swansea Bay UHB,2020-06-14,0,3,0.0
Swansea Bay UHB,2020-06-21,1,2,50.0
Swansea Bay UHB,2020-06-28,0,1,0.0
Swansea Bay UHB,2020-07-05,0,2,0.0
Swansea Bay UHB,2020-07-12,2,3,67.0
Swansea Bay UHB,2020-07-19,1,6,17.0
Swansea Bay UHB,2020-07-26,2,9,22.0
Swansea Bay UHB,2020-08-02,1,5,20.0
Swansea Bay UHB,2020-08-09,0,1,0.0
Swansea Bay UHB,2020-08-16,0,1,0.0
Swansea Bay UHB,2020-08-23,0,0,0.0
Swansea Bay UHB,2020-08-30,0,0,0.0
Swansea Bay UHB,2020-09-06,0,1,0.0
Swansea Bay UHB,2020-09-13,0,2,0.0
Swansea Bay UHB,2020-09-20,0,4,0.0
Swansea Bay UHB,2020-09-27,0,6,0.0
Swansea Bay UHB,2020-10-04,1,18,6.0
Swansea Bay UHB,2020-10-11,9,38,24.0
Swansea Bay UHB,2020-10-18,25,72,35.0
Swansea Bay UHB,2020-10-25,59,141,42.0
Swansea Bay UHB,2020-11-01,41,177,23.0
Swansea Bay UHB,2020-11-08,48,233,21.0
Swansea Bay UHB,2020-11-15,80,274,29.0
Swansea Bay UHB,2020-11-22,51,275,19.0
Swansea Bay UHB,2020-11-29,43,266,16.0
Swansea Bay UHB,2020-12-06,52,287,18.0
Swansea Bay UHB,2020-12-13,80,318,25.0
Swansea Bay UHB,2020-12-20,56,330,17.0
Swansea Bay UHB,2020-12-27,40,321,12.0
Swansea Bay UHB,2021-01-03,39,310,13.0
Swansea Bay UHB,2021-01-10,39,291,13.0
Swansea Bay UHB,2021-01-17,50,243,21.0
Swansea Bay UHB,2021-01-24,44,246,18.0
Swansea Bay UHB,2021-01-31,39,222,18.0
Swansea Bay UHB,2021-02-07,24,177,14.0
Swansea Bay UHB,2021-02-14,35,156,22.0
Swansea Bay UHB,2021-02-21,27,125,22.0
Swansea Bay UHB,2021-02-28,14,104,13.0
Swansea Bay UHB,2021-03-07,12,83,14.0
Swansea Bay UHB,2021-03-14,10,63,16.0
Swansea Bay UHB,2021-03-21,4,38,11.0
Swansea Bay UHB,2021-03-28,12,40,30.0
Swansea Bay UHB,2021-04-04,3,31,10.0
Swansea Bay UHB,2021-04-11,6,31,19.0
Swansea Bay UHB,2021-04-18,13,34,38.0
Swansea Bay UHB,2021-04-25,14,40,35.0
Swansea Bay UHB,2021-05-02,6,34,18.0
Swansea Bay UHB,2021-05-09,4,29,14.0
Swansea Bay UHB,2021-05-16,4,23,17.0
Swansea Bay UHB,2021-05-23,1,18,6.0
Swansea Bay UHB,2021-05-30,2,13,15.0
Swansea Bay UHB,2021-06-06,0,14,0.0
Swansea Bay UHB,2021-06-13,0,10,0.0
Swansea Bay UHB,2021-06-20,2,9,22.0
Swansea Bay UHB,2021-06-27,0,6,0.0
Swansea Bay UHB,2021-07-04,2,5,40.0
Swansea Bay UHB,2021-07-11,1,6,17.0
Swansea Bay UHB,2021-07-18,1,9,11.0
Swansea Bay UHB,2021-07-25,0,13,0.0
Swansea Bay UHB,2021-08-01,6,20,30.0
Swansea Bay UHB,2021-08-08,2,15,13.0
Swansea Bay UHB,2021-08-15,4,18,22.0
Swansea Bay UHB,2021-08-22,1,29,3.0
Swansea Bay UHB,2021-08-29,6,39,15.0
Swansea Bay UHB,2021-09-05,7,52,13.0
Swansea Bay UHB,2021-09-12,4,87,5.0
Swansea Bay UHB,2021-09-19,10,95,11.0
Swansea Bay UHB,2021-09-26,7,88,8.0
Swansea Bay UHB,2021-10-03,11,87,13.0
Swansea Bay UHB,2021-10-10,14,93,15.0
Swansea Bay UHB,2021-10-17,12,101,12.0
Swansea Bay UHB,2021-10-24,11,114,10.0
Swansea Bay UHB,2021-10-31,2,108,2.0
Swansea Bay UHB,2021-11-07,25,115,22.0
Swansea Bay UHB,2021-11-14,10,112,9.0
Swansea Bay UHB,2021-11-21,7,92,8.0
Swansea Bay UHB,2021-11-28,4,69,6.0
Swansea Bay UHB,2021-12-05,10,60,17.0
Swansea Bay UHB,2021-12-12,7,59,12.0
Swansea Bay UHB,2021-12-19,12,60,20.0
Swansea Bay UHB,2021-12-26,22,89,25.0
Swansea Bay UHB,2022-01-02,49,151,32.0
Swansea Bay UHB,2022-01-09,45,194,23.0
Swansea Bay UHB,2022-01-16,21,189,11.0
Swansea Bay UHB,2022-01-23,33,198,17.0
Swansea Bay UHB,2022-01-30,57,207,28.0
Swansea Bay UHB,2022-02-06,43,188,23.0
Swansea Bay UHB,2022-02-13,25,166,15.0
Swansea Bay UHB,2022-02-20,35,165,21.0
Swansea Bay UHB,2022-02-27,34,147,23.0
Swansea Bay UHB,2022-03-06,32,147,22.0
Swansea Bay UHB,2022-03-13,28,148,19.0
Swansea Bay UHB,2022-03-20,32,158,20.0
Swansea Bay UHB,2022-03-27,37,176,21.0
Powys THB,2020-03-01,0,0,0.0
Powys THB,2020-03-08,0,0,0.0
Powys THB,2020-03-15,0,0,0.0
Powys THB,2020-03-22,0,0,0.0
Powys THB,2020-03-29,0,0,0.0
Powys THB,2020-04-05,3,3,100.0
Powys THB,2020-04-12,3,7,43.0
Powys THB,2020-04-19,6,12,50.0
Powys THB,2020-04-26,1,13,8.0
Powys THB,2020-05-03,4,18,22.0
Powys THB,2020-05-10,5,15,33.0
Powys THB,2020-05-17,1,11,9.0
Powys THB,2020-05-24,1,9,11.0
Powys THB,2020-05-31,0,5,0.0
Powys THB,2020-06-07,0,3,0.0
Powys THB,2020-06-14,0,2,0.0
Powys THB,2020-06-21,0,1,0.0
Powys THB,2020-06-28,0,1,0.0
Powys THB,2020-07-05,0,0,0.0
Powys THB,2020-07-12,0,1,0.0
Powys THB,2020-07-19,0,1,0.0
Powys THB,2020-07-26,0,0,0.0
Powys THB,2020-08-02,0,0,0.0
Powys THB,2020-08-09,0,1,0.0
Powys THB,2020-08-16,0,1,0.0
Powys THB,2020-08-23,0,2,0.0
Powys THB,2020-08-30,0,0,0.0
Powys THB,2020-09-06,0,0,0.0
Powys THB,2020-09-13,0,0,0.0
Powys THB,2020-09-20,0,0,0.0
Powys THB,2020-09-27,0,0,0.0
Powys THB,2020-10-04,0,0,0.0
Powys THB,2020-10-11,0,0,0.0
Powys THB,2020-10-18,0,0,0.0
Powys THB,2020-10-25,0,0,0.0
Powys THB,2020-11-01,0,0,0.0
Powys THB,2020-11-08,4,6,67.0
Powys THB,2020-11-15,9,12,75.0
Powys THB,2020-11-22,9,19,47.0
Powys THB,2020-11-29,1,18,6.0
Powys THB,2020-12-06,0,15,0.0
Powys THB,2020-12-13,0,11,0.0
Powys THB,2020-12-20,1,4,25.0
Powys THB,2020-12-27,1,7,14.0
Powys THB,2021-01-03,9,18,50.0
Powys THB,2021-01-10,5,24,21.0
Powys THB,2021-01-17,4,31,13.0
Powys THB,2021-01-24,11,37,30.0
Powys THB,2021-01-31,2,21,10.0
Powys THB,2021-02-07,4,20,20.0
Powys THB,2021-02-14,5,19,26.0
Powys THB,2021-02-21,1,9,11.0
Powys THB,2021-02-28,1,11,9.0
Powys THB,2021-03-07,3,11,27.0
Powys THB,2021-03-14,1,9,11.0
Powys THB,2021-03-21,1,8,12.0
Powys THB,2021-03-28,0,6,0.0
Powys THB,2021-04-04,1,4,25.0
Powys THB,2021-04-11,1,2,50.0
Powys THB,2021-04-18,0,3,0.0
Powys THB,2021-04-25,0,3,0.0
Powys THB,2021-05-02,4,7,57.0
Powys THB,2021-05-09,0,5,0.0
Powys THB,2021-05-16,1,5,20.0
Powys THB,2021-05-23,0,5,0.0
Powys THB,2021-05-30,0,3,0.0
Powys THB,2021-06-06,0,1,0.0
Powys THB,2021-06-13,0,0,0.0
Powys THB,2021-06-20,0,0,0.0
Powys THB,2021-06-27,1,1,100.0
Powys THB,2021-07-04,1,3,33.0
Powys THB,2021-07-11,0,3,0.0
Powys THB,2021-07-18,1,3,33.0
Powys THB,2021-07-25,3,7,43.0
Powys THB,2021-08-01,1,7,14.0
Powys THB,2021-08-08,0,6,0.0
Powys THB,2021-08-15,3,7,43.0
Powys THB,2021-08-22,2,7,29.0
Powys THB,2021-08-29,2,7,29.0
Powys THB,2021-09-05,5,14,36.0
Powys THB,2021-09-12,3,12,25.0
Powys THB,2021-09-19,3,13,23.0
Powys THB,2021-09-26,2,12,17.0
Powys THB,2021-10-03,4,15,27.0
Powys THB,2021-10-10,0,11,0.0
Powys THB,2021-10-17,1,7,14.0
Powys THB,2021-10-24,1,7,14.0
Powys THB,2021-10-31,4,8,50.0
Powys THB,2021-11-07,3,9,33.0
Powys THB,2021-11-14,4,14,29.0
Powys THB,2021-11-21,9,20,45.0
Powys THB,2021-11-28,2,19,11.0
Powys THB,2021-12-05,4,21,19.0
Powys THB,2021-12-12,1,14,7.0
Powys THB,2021-12-19,0,6,0.0
Powys THB,2021-12-26,1,4,25.0
Powys THB,2022-01-02,2,5,40.0
Powys THB,2022-01-09,9,13,69.0
Powys THB,2022-01-16,1,13,8.0
Powys THB,2022-01-23,3,14,21.0
Powys THB,2022-01-30,7,20,35.0
Powys THB,2022-02-06,7,21,33.0
Powys THB,2022-02-13,1,20,5.0
Powys THB,2022-02-20,1,18,6.0
Powys THB,2022-02-27,1,11,9.0
Powys THB,2022-03-06,0,6,0.0
Powys THB,2022-03-13,7,12,58.0
Powys THB,2022-03-20,4,13,31.0
Powys THB,2022-03-27,8,23,35.0
Hywel Dda UHB,2020-03-01,0,0,0.0
Hywel Dda UHB,2020-03-08,0,0,0.0
Hywel Dda UHB,2020-03-15,0,0,0.0
Hywel Dda UHB,2020-03-22,3,5,60.0
Hywel Dda UHB,2020-03-29,8,31,26.0
Hywel Dda UHB,2020-04-05,11,64,17.0
Hywel Dda UHB,2020-04-12,11,76,14.0
Hywel Dda UHB,2020-04-19,10,78,13.0
Hywel Dda UHB,2020-04-26,11,71,15.0
Hywel Dda UHB,2020-05-03,5,58,9.0
Hywel Dda UHB,2020-05-10,7,51,14.0
Hywel Dda UHB,2020-05-17,4,27,15.0
Hywel Dda UHB,2020-05-24,0,21,0.0
Hywel Dda UHB,2020-05-31,0,11,0.0
Hywel Dda UHB,2020-06-07,1,14,7.0
Hywel Dda UHB,2020-06-14,6,19,32.0
Hywel Dda UHB,2020-06-21,3,20,15.0
Hywel Dda UHB,2020-06-28,4,24,17.0
Hywel Dda UHB,2020-07-05,1,19,5.0
Hywel Dda UHB,2020-07-12,0,9,0.0
Hywel Dda UHB,2020-07-19,1,8,12.0
Hywel Dda UHB,2020-07-26,1,6,17.0
Hywel Dda UHB,2020-08-02,0,6,0.0
Hywel Dda UHB,2020-08-09,3,5,60.0
Hywel Dda UHB,2020-08-16,0,2,0.0
Hywel Dda UHB,2020-08-23,1,1,100.0
Hywel Dda UHB,2020-08-30,0,7,0.0
Hywel Dda UHB,2020-09-06,0,2,0.0
Hywel Dda UHB,2020-09-13,0,2,0.0
Hywel Dda UHB,2020-09-20,0,4,0.0
Hywel Dda UHB,2020-09-27,1,2,50.0
Hywel Dda UHB,2020-10-04,1,5,20.0
Hywel Dda UHB,2020-10-11,0,8,0.0
Hywel Dda UHB,2020-10-18,15,23,65.0
Hywel Dda UHB,2020-10-25,17,55,31.0
Hywel Dda UHB,2020-11-01,10,81,12.0
Hywel Dda UHB,2020-11-08,30,112,27.0
Hywel Dda UHB,2020-11-15,21,121,17.0
Hywel Dda UHB,2020-11-22,42,137,31.0
Hywel Dda UHB,2020-11-29,20,139,14.0
Hywel Dda UHB,2020-12-06,48,152,32.0
Hywel Dda UHB,2020-12-13,42,178,24.0
Hywel Dda UHB,2020-12-20,48,211,23.0
Hywel Dda UHB,2020-12-27,46,255,18.0
Hywel Dda UHB,2021-01-03,57,257,22.0
Hywel Dda UHB,2021-01-10,32,241,13.0
Hywel Dda UHB,2021-01-17,37,237,16.0
Hywel Dda UHB,2021-01-24,35,217,16.0
Hywel Dda UHB,2021-01-31,36,185,19.0
Hywel Dda UHB,2021-02-07,27,165,16.0
Hywel Dda UHB,2021-02-14,34,137,25.0
Hywel Dda UHB,2021-02-21,41,129,32.0
Hywel Dda UHB,2021-02-28,13,107,12.0
Hywel Dda UHB,2021-03-07,2,77,3.0
Hywel Dda UHB,2021-03-14,3,56,5.0
Hywel Dda UHB,2021-03-21,4,31,13.0
Hywel Dda UHB,2021-03-28,3,14,21.0
Hywel Dda UHB,2021-04-04,3,18,17.0
Hywel Dda UHB,2021-04-11,3,15,20.0
Hywel Dda UHB,2021-04-18,2,14,14.0
Hywel Dda UHB,2021-04-25,11,18,61.0
Hywel Dda UHB,2021-05-02,3,26,12.0
Hywel Dda UHB,2021-05-09,1,24,4.0
Hywel Dda UHB,2021-05-16,2,22,9.0
Hywel Dda UHB,2021-05-23,0,13,0.0
Hywel Dda UHB,2021-05-30,1,10,10.0
Hywel Dda UHB,2021-06-06,3,9,33.0
Hywel Dda UHB,2021-06-13,5,10,50.0
Hywel Dda UHB,2021-06-20,0,11,0.0
Hywel Dda UHB,2021-06-27,2,10,20.0
Hywel Dda UHB,2021-07-04,3,12,25.0
Hywel Dda UHB,2021-07-11,2,12,17.0
Hywel Dda UHB,2021-07-18,2,22,9.0
Hywel Dda UHB,2021-07-25,0,22,0.0
Hywel Dda UHB,2021-08-01,8,25,32.0
Hywel Dda UHB,2021-08-08,0,21,0.0
Hywel Dda UHB,2021-08-15,1,22,5.0
Hywel Dda UHB,2021-08-22,2,26,8.0
Hywel Dda UHB,2021-08-29,5,35,14.0
Hywel Dda UHB,2021-09-05,15,65,23.0
Hywel Dda UHB,2021-09-12,7,75,9.0
Hywel Dda UHB,2021-09-19,3,84,4.0
Hywel Dda UHB,2021-09-26,6,78,8.0
Hywel Dda UHB,2021-10-03,13,67,19.0
Hywel Dda UHB,2021-10-10,18,94,19.0
Hywel Dda UHB,2021-10-17,39,115,34.0
Hywel Dda UHB,2021-10-24,36,139,26.0
Hywel Dda UHB,2021-10-31,23,146,16.0
Hywel Dda UHB,2021-11-07,18,150,12.0
Hywel Dda UHB,2021-11-14,13,138,9.0
Hywel Dda UHB,2021-11-21,11,129,9.0
Hywel Dda UHB,2021-11-28,6,93,6.0
Hywel Dda UHB,2021-12-05,9,78,12.0
Hywel Dda UHB,2021-12-12,11,69,16.0
Hywel Dda UHB,2021-12-19,9,57,16.0
Hywel Dda UHB,2021-12-26,16,71,23.0
Hywel Dda UHB,2022-01-02,41,117,35.0
Hywel Dda UHB,2022-01-09,40,165,24.0
Hywel Dda UHB,2022-01-16,52,201,26.0
Hywel Dda UHB,2022-01-23,38,212,18.0
Hywel Dda UHB,2022-01-30,18,181,10.0
Hywel Dda UHB,2022-02-06,28,152,18.0
Hywel Dda UHB,2022-02-13,21,128,16.0
Hywel Dda UHB,2022-02-20,22,107,21.0
Hywel Dda UHB,2022-02-27,31,115,27.0
Hywel Dda UHB,2022-03-06,31,116,27.0
Hywel Dda UHB,2022-03-13,48,136,35.0
Hywel Dda UHB,2022-03-20,46,171,27.0
Hywel Dda UHB,2022-03-27,54,201,27.0
Cwm Taf Morgannwg UHB,2020-03-01,0,0,0.0
Cwm Taf Morgannwg UHB,2020-03-08,0,0,0.0
Cwm Taf Morgannwg UHB,2020-03-15,0,0,0.0
Cwm Taf Morgannwg UHB,2020-03-22,1,13,8.0
Cwm Taf Morgannwg UHB,2020-03-29,13,64,20.0
Cwm Taf Morgannwg UHB,2020-04-05,58,162,36.0
Cwm Taf Morgannwg UHB,2020-04-12,46,212,22.0
Cwm Taf Morgannwg UHB,2020-04-19,34,206,17.0
Cwm Taf Morgannwg UHB,2020-04-26,36,193,19.0
Cwm Taf Morgannwg UHB,2020-05-03,26,170,15.0
Cwm Taf Morgannwg UHB,2020-05-10,36,144,25.0
Cwm Taf Morgannwg UHB,2020-05-17,25,134,19.0
Cwm Taf Morgannwg UHB,2020-05-24,37,141,26.0
Cwm Taf Morgannwg UHB,2020-05-31,11,119,9.0
Cwm Taf Morgannwg UHB,2020-06-07,7,81,9.0
Cwm Taf Morgannwg UHB,2020-06-14,8,59,14.0
Cwm Taf Morgannwg UHB,2020-06-21,3,33,9.0
Cwm Taf Morgannwg UHB,2020-06-28,5,28,18.0
Cwm Taf Morgannwg UHB,2020-07-05,4,16,25.0
Cwm Taf Morgannwg UHB,2020-07-12,2,13,15.0
Cwm Taf Morgannwg UHB,2020-07-19,1,12,8.0
Cwm Taf Morgannwg UHB,2020-07-26,1,9,11.0
Cwm Taf Morgannwg UHB,2020-08-02,2,5,40.0
Cwm Taf Morgannwg UHB,2020-08-09,2,10,20.0
Cwm Taf Morgannwg UHB,2020-08-16,1,7,14.0
Cwm Taf Morgannwg UHB,2020-08-23,1,7,14.0
Cwm Taf Morgannwg UHB,2020-08-30,2,5,40.0
Cwm Taf Morgannwg UHB,2020-09-06,0,5,0.0
Cwm Taf Morgannwg UHB,2020-09-13,4,15,27.0
Cwm Taf Morgannwg UHB,2020-09-20,25,57,44.0
Cwm Taf Morgannwg UHB,2020-09-27,39,112,35.0
Cwm Taf Morgannwg UHB,2020-10-04,45,148,30.0
Cwm Taf Morgannwg UHB,2020-10-11,61,220,28.0
Cwm Taf Morgannwg UHB,2020-10-18,45,241,19.0
Cwm Taf Morgannwg UHB,2020-10-25,55,298,18.0
Cwm Taf Morgannwg UHB,2020-11-01,83,378,22.0
Cwm Taf Morgannwg UHB,2020-11-08,61,415,15.0
Cwm Taf Morgannwg UHB,2020-11-15,46,372,12.0
Cwm Taf Morgannwg UHB,2020-11-22,34,333,10.0
